Type;FSL-3;
Version;2.40;
Date;16.Oct 23;
Mode;ANALYZER;
Center Freq;99960000,000000;Hz
Freq Offset;0,000000;Hz
Span;196000000,000000;Hz
x-Axis;LIN;
Start;1960000,000000;Hz
Stop;197960000,000000;Hz
Ref Level;10,000000;dBm
Level Offset;0,000000;dB
Ref Position;100,000000;%
y-Axis;LOG;
Level Range;100,000000;dB
Rf Att;30,000000;dB
RBW;30000,000000;Hz
VBW;100000,000000;Hz
SWT;0,215000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
148568000;-65,991661071777344;-97,214332580566406
148960000;-68,694206237792969;-94,108985900878906
149352000;-69,083992004394531;-103,64993286132812
149744000;-65,081680297851563;-96,483314514160156
150136000;-66,253143310546875;-102,61106109619141
150528000;-66,120155334472656;-94,961463928222656
150920000;-66,19012451171875;-106,18683624267578
151312000;-67,592437744140625;-104,28123474121094
151704000;-63,893627166748047;-99,382705688476562
152096000;-65,153587341308594;-104,15011596679687
152488000;-68,042488098144531;-99,533271789550781
152880000;-66,669166564941406;-89,1673583984375
153272000;-66,427986145019531;-86,726287841796875
153664000;-66,893333435058594;-100,49861907958984
154056000;-65,907455444335938;-85,894767761230469
154448000;-67,392341613769531;-109,07445526123047
154840000;-65,567634582519531;-96,863243103027344
155232000;-67,071990966796875;-105,10660552978516
155624000;-68,733039855957031;-102,28782653808594
156016000;-67,823799133300781;-98,192100524902344
156408000;-66,127822875976563;-95,61181640625
156800000;-68,257591247558594;-91,068496704101563
157192000;-65,046211242675781;-106,18286895751953
157584000;-66,749755859375;-101,11367034912109
157976000;-64,486129760742187;-102,82600402832031
158368000;-68,9561767578125;-117,14581298828125
158760000;-64,476203918457031;-100,49539947509766
159152000;-66,288810729980469;-96,694000244140625
159544000;-67,027610778808594;-97,996124267578125
159936000;-64,985725402832031;-104,67983245849609
160328000;-67,185722351074219;-100,93096923828125
160720000;-67,598045349121094;-102,07778167724609
161112000;-67,446701049804688;-114,22151184082031
161504000;-67,669227600097656;-111,12322998046875
161896000;-68,075180053710938;-95,369056701660156
162288000;-68,231254577636719;-94,731857299804688
162680000;-66,036361694335938;-101,29525756835937
163072000;-66,892707824707031;-101,97470092773437
163464000;-67,15802001953125;-105,10139465332031
163856000;-66,198333740234375;-84,405906677246094
164248000;-64,838531494140625;-96,913505554199219
164640000;-70,098197937011719;-90,615127563476563
165032000;-67,031364440917969;-99,007720947265625
165424000;-68,128150939941406;-98,384307861328125
165816000;-67,464607238769531;-96,419174194335938
166208000;-67,773902893066406;-107,99330902099609
166600000;-68,803352355957031;-110,03285217285156
166992000;-65,826545715332031;-118,38330841064453
167384000;-66,122505187988281;-110,55892944335937
167776000;-66,261810302734375;-101,57684326171875
168168000;-66,987892150878906;-100,48943328857422
168560000;-65,454246520996094;-96,967361450195313
168952000;-67,711326599121094;-110,29066467285156
169344000;-64,812858581542969;-99,992218017578125
169736000;-66,646369934082031;-102,59864807128906
170128000;-67,186882019042969;-96,205863952636719
170520000;-66,344894409179688;-98,11785888671875
170912000;-65,583442687988281;-91,3818359375
171304000;-66,562721252441406;-103,75749206542969
171696000;-67,587234497070313;-104,26831817626953
172088000;-67,736763000488281;-99,910423278808594
172480000;-68,15863037109375;-102,17311859130859
172872000;-66,582321166992188;-85,0665283203125
173264000;-66,039337158203125;-97,79791259765625
173656000;-66,804550170898437;-91,966575622558594
174048000;-65,833106994628906;-98,859611511230469
174440000;-66,584754943847656;-101,3817138671875
174832000;-66,890602111816406;-104,95061492919922
175224000;-62,899002075195313;-94,379623413085937
175616000;-65,197090148925781;-99,145782470703125
176008000;-66,156211853027344;-105,09343719482422
176400000;-66,896728515625;-100,74352264404297
176792000;-68,987464904785156;-102,17039489746094
177184000;-68,39581298828125;-99,218086242675781
177576000;-69,347969055175781;-100,39873504638672
177968000;-68,946014404296875;-90,471176147460937
178360000;-66,904403686523438;-95,125740051269531
178752000;-65,968338012695312;-100,48272705078125
179144000;-65,418930053710937;-100,82996368408203
179536000;-67,557235717773438;-98,510040283203125
179928000;-66,98583984375;-109,77262878417969
180320000;-66,431098937988281;-103,15251159667969
180712000;-67,694099426269531;-99,904960632324219
181104000;-67,25018310546875;-99,289527893066406
181496000;-67,479415893554688;-95,356636047363281
181888000;-65,682785034179688;-103,87576293945312
182280000;-65,865798950195313;-100,48049163818359
182672000;-66,507667541503906;-98,30682373046875
183064000;-67,415748596191406;-109,28797149658203
183456000;-67,583648681640625;-97,729194641113281
183848000;-68,047019958496094;-108,39582824707031
184240000;-64,167442321777344;-105,68749237060547
184632000;-65,998313903808594;-99,666648864746094
185024000;-68,437553405761719;-90,712165832519531
185416000;-66,402572631835938;-98,852409362792969
185808000;-66,702186584472656;-94,939117431640625
186200000;-68,000869750976563;-114,62940979003906
186592000;-69,097633361816406;-114,20537567138672
186984000;-66,13128662109375;-97,012641906738281
187376000;-67,05889892578125;-108,39359283447266
187768000;-65,2969970703125;-106,8450927734375
188160000;-66,905326843261719;-99,211135864257813
188552000;-67,551528930664062;-90,278244018554688
188944000;-69,849205017089844;-106,66886901855469
189336000;-67,632171630859375;-106,00015258789062
189728000;-68,053474426269531;-94,981758117675781
190120000;-67,575569152832031;-94,120811462402344
190512000;-68,198860168457031;-110,27700042724609
190904000;-65,694137573242188;-97,849449157714844
191296000;-69,676544189453125;-101,95682525634766
191688000;-68,847549438476563;-110,54354095458984
192080000;-65,6453857421875;-86,949386596679688
192472000;-69,1123046875;-111,70288848876953
192864000;-67,031837463378906;-93,876663208007812
193256000;-66,37237548828125;-97,974777221679688
193648000;-66,107498168945313;-117,12347412109375
194040000;-67,069221496582031;-104,12355041503906
194432000;-69,164169311523438;-106,84088134765625
194824000;-67,536018371582031;-93,485855102539062
195216000;-67,518508911132813;-83,283172607421875
195608000;-67,717941284179687;-103,37760162353516
196000000;-67,8900146484375;-97,006935119628906
196392000;-66,227149963378906;-107,97418975830078
196784000;-67,251396179199219;-96,892898559570313
197176000;-67,709114074707031;-112,34359741210937
197568000;-65,419303894042969;-116,56040954589844
197960000;-66,193183898925781;-113,40800476074219
